,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value,Keeper,Salary
200,Hitter,Robinson Cano,565,67,20,74,1,0.327,x,x,x,x,x,x,7.246454051,9.993011421,6.994212775,TRUE,7
201,Hitter,Jurickson Profar,529,59,18,63,7,0.327,x,x,x,x,x,x,7.184374588,9.907402545,6.898882612,,
202,Hitter,Ji-Man Choi,471,59,18,60,3,0.347,x,x,x,x,x,x,7.130202966,9.832698747,6.815695849,TRUE,2
203,Hitter,Alex Verdugo,496,60,15,62,5,0.342,x,x,x,x,x,x,7.123982857,9.824121087,6.806144155,TRUE,1
204,Pitcher,Corey Kluber,x,x,x,x,x,x,187,16.5,0,188,4.23,1.26,7.105369181,9.818165194,6.799511943,,
205,Hitter,Corey Dickerson,563,65,20,69,4,0.317,x,x,x,x,x,x,7.050917894,9.723362977,6.693944491,,
206,Pitcher,Edwin Diaz,x,x,x,x,x,x,65,0,31,98,2.9,1.05,7.032465848,9.717427717,6.687335255,,
207,Hitter,Salvador Perez,550,66,27,82,2,0.291,x,x,x,x,x,x,7.045676976,9.716135642,6.685896459,,
208,Hitter,J.D. Davis,486,59,21,65,3,0.329,x,x,x,x,x,x,7.04450091,9.714513823,6.684090474,,
209,Hitter,Tommy Edman,495,57,11,51,15,0.322,x,x,x,x,x,x,7.027441209,9.690988139,6.657893339,,
210,Pitcher,Jose Berrios,x,x,x,x,x,x,198,19.5,0,190,4.49,1.29,6.990055735,9.658825624,6.622078621,,
211,Pitcher,Frankie Montas,x,x,x,x,x,x,186,18,0,176,4.17,1.29,6.983783284,9.650158382,6.612427173,,
212,Pitcher,Aroldis Chapman,x,x,x,x,x,x,65,0,34,94,3.01,1.12,6.980841434,9.646093348,6.607900534,,
213,Hitter,Jason Heyward,507,59,14,58,6,0.342,x,x,x,x,x,x,6.98713465,9.635404552,6.595997976,,
214,Hitter,Adam Frazier,568,66,10,54,7,0.341,x,x,x,x,x,x,6.908460388,9.526911103,6.475184589,,
215,Pitcher,Josh Hader,x,x,x,x,x,x,65,0,28,106,2.95,1.04,6.876904644,9.502473987,6.447972525,,
216,Hitter,Evan Longoria,572,64,21,74,3,0.31,x,x,x,x,x,x,6.882278579,9.490805842,6.434979408,,
217,Hitter,Nick Madrigal,440,50,5,44,18,0.337,x,x,x,x,x,x,6.81903156,9.403586882,6.337856326,,
218,Hitter,Shed Long,550,62,16,58,10,0.311,x,x,x,x,x,x,6.815858276,9.399210857,6.332983384,,
219,Hitter,Teoscar Hernandez,475,58,22,62,7,0.302,x,x,x,x,x,x,6.746599977,9.303702217,6.226629291,,
220,Pitcher,Chris Archer,x,x,x,x,x,x,180,15,0,196,4.19,1.3,6.732715821,9.303234561,6.226108531,,
221,Pitcher,Mike Soroka,x,x,x,x,x,x,189,18,0,165,4.12,1.3,6.730858911,9.300668692,6.223251296,,
222,Hitter,Albert Pujols,513,62,22,73,2,0.308,x,x,x,x,x,x,6.733884965,9.28616795,6.207103927,,
223,Hitter,Isan Diaz,572,61,19,61,7,0.312,x,x,x,x,x,x,6.72777598,9.277743533,6.197722878,,
224,Hitter,JaCoby Jones,552,62,16,58,12,0.299,x,x,x,x,x,x,6.685175151,9.218996099,6.132304399,,
225,Hitter,A.J. Pollock,449,57,18,59,7,0.316,x,x,x,x,x,x,6.684461104,9.218011413,6.131207897,,
226,Hitter,Nick Ahmed,600,61,18,70,7,0.304,x,x,x,x,x,x,6.637416997,9.153136608,6.058966255,TRUE,3
227,Pitcher,Kirby Yates,x,x,x,x,x,x,65,0,32,89,3.21,1.09,6.614742165,9.140219127,6.044581933,,
228,Pitcher,Liam Hendriks,x,x,x,x,x,x,70,0,30,92,3.18,1.08,6.592386101,9.109327625,6.010182557,TRUE,1
229,Pitcher,Madison Bumgarner,x,x,x,x,x,x,199,16.5,0,192,4.51,1.27,6.578463878,9.090089962,5.988760368,,
230,Hitter,Eric Thames,439,55,19,57,4,0.33,x,x,x,x,x,x,6.585998897,9.082229974,5.980007841,TRUE,4
231,Pitcher,James Paxton,x,x,x,x,x,x,126,13.5,0,147,3.86,1.19,6.567312487,9.074681024,5.971601672,TRUE,2
232,Pitcher,Hyun-Jin Ryu,x,x,x,x,x,x,186,16.5,0,165,4.26,1.26,6.543157977,9.041304437,5.934435019,,
233,Hitter,Mauricio Dubon,556,55,14,58,13,0.305,x,x,x,x,x,x,6.543440418,9.023540944,5.914654397,,
234,Hitter,Domingo Santana,416,52,17,54,5,0.338,x,x,x,x,x,x,6.52797773,9.002217575,5.89090966,,
235,Hitter,Jake Lamb,463,54,18,58,3,0.336,x,x,x,x,x,x,6.512925794,8.98146064,5.867795679,,
236,Hitter,Travis Shaw,434,54,20,58,3,0.329,x,x,x,x,x,x,6.501643484,8.965902099,5.850470392,,
237,Hitter,Victor Reyes,522,58,10,51,15,0.308,x,x,x,x,x,x,6.500914811,8.964897244,5.849351432,,
238,Pitcher,Jon Gray,x,x,x,x,x,x,186,16.5,0,190,4.32,1.32,6.487261851,8.964067438,5.848427397,,
239,Pitcher,Dylan Bundy,x,x,x,x,x,x,178,16.5,0,177,4.47,1.26,6.483253186,8.958528284,5.842259246,,
240,Pitcher,Miles Mikolas,x,x,x,x,x,x,192,16.5,0,153,4.2,1.25,6.456311858,8.921300885,5.800804503,,
241,Pitcher,Garrett Richards,x,x,x,x,x,x,165,15,0,171,3.9,1.33,6.434593933,8.89129116,5.767387032,,
242,Hitter,Gavin Lux,451,52,14,55,8,0.328,x,x,x,x,x,x,6.441570762,8.883060561,5.758221811,,
243,Pitcher,Lance McCullers Jr.,x,x,x,x,x,x,138,15,0,149,3.77,1.29,6.427427655,8.881388832,5.756360249,,
244,Pitcher,Jesus Luzardo,x,x,x,x,x,x,149,15,0,151,3.98,1.26,6.397916678,8.840610704,5.710951574,,
245,Hitter,Giovanny Urshela,550,64,18,70,2,0.311,x,x,x,x,x,x,6.391282465,8.81371195,5.680998342,,
246,Pitcher,Craig Kimbrel,x,x,x,x,x,x,65,0,35,90,3.58,1.2,6.378418791,8.813668617,5.680950088,,
247,Pitcher,Jose Urquidy,x,x,x,x,x,x,168,16.5,0,164,4.48,1.24,6.370797102,8.803137005,5.669222561,,
248,Hitter,Nick Solak,424,51,15,55,5,0.339,x,x,x,x,x,x,6.370472713,8.785014868,5.649042571,,
249,Hitter,Alex Gordon,498,57,13,56,5,0.334,x,x,x,x,x,x,6.341624468,8.745232535,5.604742769,,
250,Pitcher,Kenley Jansen,x,x,x,x,x,x,65,0,37,75,3.84,1.13,6.325133004,8.740038571,5.598959006,,
251,Hitter,Starlin Castro,502,58,15,66,3,0.324,x,x,x,x,x,x,6.33754751,8.739610326,5.598482131,,
252,Hitter,Christin Stewart,494,59,19,60,1,0.327,x,x,x,x,x,x,6.32853973,8.727188409,5.584649647,,
253,Hitter,Mitch Moreland,442,54,22,64,1,0.317,x,x,x,x,x,x,6.281074565,8.661732955,5.511761422,,
254,Pitcher,Jake Odorizzi,x,x,x,x,x,x,172,18,0,179,4.59,1.31,6.260232033,8.650358719,5.499095588,,
255,Hitter,Austin Hays,446,53,19,59,8,0.299,x,x,x,x,x,x,6.267639131,8.643205212,5.491129766,,
256,Hitter,Maikel Franco,442,54,19,61,1,0.33,x,x,x,x,x,x,6.26378976,8.637896848,5.485218613,,
257,Hitter,David Fletcher,549,65,6,51,8,0.333,x,x,x,x,x,x,6.26031274,8.633101964,5.479879248,,
258,Hitter,Willson Contreras,408,50,16,56,3,0.342,x,x,x,x,x,x,6.244993615,8.611976572,5.456354969,TRUE,1
259,Hitter,Steven Souza Jr.,376,49,17,51,6,0.33,x,x,x,x,x,x,6.234381777,8.597342626,5.440059269,,
260,Hitter,Tyler O'Neill,449,53,22,63,5,0.297,x,x,x,x,x,x,6.194669145,8.542578077,5.37907595,TRUE,7
261,Pitcher,Marcus Stroman,x,x,x,x,x,x,179,16.5,0,154,3.9,1.35,6.16167268,8.514169876,5.347441866,,
262,Hitter,Hanser Alberto,582,63,12,61,6,0.315,x,x,x,x,x,x,6.140873074,8.468392171,5.296465889,TRUE,1
263,Hitter,Buster Posey,518,56,11,56,2,0.347,x,x,x,x,x,x,6.10980255,8.425545271,5.248753523,TRUE,1
264,Hitter,Evan White,526,58,19,63,3,0.31,x,x,x,x,x,x,6.104305279,8.41796442,5.24031183,,
265,Hitter,Nick Markakis,462,53,11,57,1,0.355,x,x,x,x,x,x,6.075074723,8.377654873,5.195424946,,
266,Pitcher,Joe Musgrove,x,x,x,x,x,x,179,15,0,163,4.27,1.28,6.033143021,8.336568208,5.149672698,,
267,Pitcher,Roberto Osuna,x,x,x,x,x,x,65,0,33,76,3.64,1.13,6.030636466,8.333104662,5.145815851,,
268,Hitter,Miguel Rojas,588,58,9,54,8,0.325,x,x,x,x,x,x,6.035378854,8.32291344,5.134467368,,
269,Pitcher,Kyle Hendricks,x,x,x,x,x,x,179,16.5,0,151,4.32,1.28,5.981397029,8.265065843,5.070050906,,
270,Hitter,Alex Dickerson,461,51,14,57,3,0.336,x,x,x,x,x,x,5.988079619,8.257686808,5.061833947,TRUE,2
271,Hitter,Brian Dozier,402,50,17,49,5,0.326,x,x,x,x,x,x,5.947387641,8.201571721,4.999346729,,
272,Hitter,Kevin Pillar,455,50,14,56,10,0.302,x,x,x,x,x,x,5.928850711,8.176008906,4.970881138,TRUE,4
273,Pitcher,Joey Lucchesi,x,x,x,x,x,x,185,16.5,0,177,4.34,1.35,5.913878562,8.171769148,4.966159935,,
274,Hitter,Luis Urias,493,52,13,55,4,0.333,x,x,x,x,x,x,5.914728606,8.15653423,4.949195021,TRUE,6
275,Pitcher,Brad Hand,x,x,x,x,x,x,65,0,33,80,3.68,1.19,5.900625922,8.153456713,4.945768038,TRUE,1
276,Pitcher,Taylor Rogers,x,x,x,x,x,x,65,0,31,77,3.44,1.16,5.862105398,8.100229237,4.886496333,,
277,Pitcher,Zac Gallen,x,x,x,x,x,x,145,13.5,0,159,4.21,1.28,5.827763285,8.052775469,4.833653969,,
278,Pitcher,Johnny Cueto,x,x,x,x,x,x,182,15,0,156,4.2,1.3,5.817886378,8.039127606,4.818456327,,
279,Pitcher,Kevin Gausman,x,x,x,x,x,x,155,13.5,0,146,4.05,1.27,5.816596813,8.037345692,4.816472068,,
280,Pitcher,Ken Giles,x,x,x,x,x,x,65,0,30,82,3.57,1.16,5.778651893,7.984913583,4.758086048,,
281,Pitcher,Jose Quintana,x,x,x,x,x,x,177,16.5,0,158,4.31,1.33,5.752474708,7.948742073,4.717807094,,
282,Pitcher,Masahiro Tanaka,x,x,x,x,x,x,183,16.5,0,160,4.54,1.29,5.716305475,7.8987636,4.662153332,,
283,Pitcher,Cole Hamels,x,x,x,x,x,x,164,15,0,160,4.25,1.33,5.659244464,7.819916968,4.574353297,,
284,Pitcher,Mike Minor,x,x,x,x,x,x,201,16.5,0,186,4.64,1.33,5.651938605,7.809821767,4.563111739,,
285,Pitcher,Hector Neris,x,x,x,x,x,x,65,0,31,82,3.86,1.2,5.574506338,7.70282623,4.443966359,,
286,Pitcher,Josh Lindblom,x,x,x,x,x,x,178,15,0,174,4.62,1.3,5.545102561,7.662196231,4.398722633,,
287,Pitcher,Julio Urias,x,x,x,x,x,x,127,13.5,0,134,3.99,1.3,5.460124461,7.544773899,4.267966447,,
288,Pitcher,Caleb Smith,x,x,x,x,x,x,179,13.5,0,189,4.6,1.32,5.443111113,7.521264936,4.241787932,,
289,Pitcher,Steven Matz,x,x,x,x,x,x,159,15,0,153,4.36,1.32,5.438994989,7.515577296,4.235454433,,
290,Pitcher,Jose Leclerc,x,x,x,x,x,x,68,0,29,93,3.75,1.28,5.414554705,7.481805828,4.197848057,,
291,Pitcher,Raisel Iglesias,x,x,x,x,x,x,65,0,31,78,3.9,1.22,5.395076886,7.454891471,4.167877449,,
292,Pitcher,Nathan Eovaldi,x,x,x,x,x,x,143,15,0,136,4.27,1.31,5.33518727,7.372136285,4.075725025,,
293,Pitcher,Shohei Ohtani,x,x,x,x,x,x,101,10.5,0,123,3.74,1.22,5.294053324,7.315297594,4.012432036,,
294,Pitcher,Nick Anderson,x,x,x,x,x,x,65,0,20,89,3.25,1.08,5.284995692,7.302781803,3.998495018,TRUE,3
295,Pitcher,Brandon Workman,x,x,x,x,x,x,68,0,32,82,3.89,1.32,5.274629684,7.288458102,3.982544795,,
296,Pitcher,Griffin Canning,x,x,x,x,x,x,135,13.5,0,139,4.36,1.28,5.215700286,7.207029741,3.891869863,TRUE,2
297,Pitcher,Keone Kela,x,x,x,x,x,x,65,0,27,81,3.63,1.22,5.190202613,7.171797178,3.852636478,,
298,Pitcher,Archie Bradley,x,x,x,x,x,x,65,0,33,72,3.94,1.31,5.168014459,7.141137694,3.818495465,TRUE,1
299,Pitcher,Pablo Lopez,x,x,x,x,x,x,157,13.5,0,135,4.18,1.3,5.159984081,7.130041355,3.806139086,TRUE,5
300,Pitcher,Anthony DeSclafani,x,x,x,x,x,x,153,13.5,0,151,4.51,1.29,5.129409494,7.087793537,3.75909383,,
301,Pitcher,Mitch Keller,x,x,x,x,x,x,140,12,0,149,4.16,1.32,5.120848965,7.075964639,3.745921706,,
302,Pitcher,Luke Weaver,x,x,x,x,x,x,134,12,0,138,4.25,1.28,5.038474832,6.962140455,3.619172254,,
303,Pitcher,Kenta Maeda,x,x,x,x,x,x,154,15,0,156,4.66,1.33,5.029950441,6.950361493,3.606055736,,
304,Pitcher,A.J. Puk,x,x,x,x,x,x,126,12,0,137,4.14,1.33,4.870948034,6.730652726,3.361398013,,
305,Pitcher,Mike Foltynewicz,x,x,x,x,x,x,181,15,0,170,4.73,1.35,4.837660337,6.684655946,3.310178083,,
306,Pitcher,Dallas Keuchel,x,x,x,x,x,x,197,18,0,150,4.39,1.42,4.818144521,6.657689084,3.280149008,,
307,Pitcher,Carlos Martinez,x,x,x,x,x,x,128,10.5,7,121,4.15,1.36,4.792502851,6.622257547,3.240694054,,
308,Pitcher,Joe Jimenez,x,x,x,x,x,x,65,0,29,76,4.2,1.27,4.773580314,6.596110476,3.211577861,,
309,Pitcher,Ian Kennedy,x,x,x,x,x,x,65,0,31,66,4.35,1.25,4.741303304,6.551510258,3.16191308,,
310,Pitcher,Rick Porcello,x,x,x,x,x,x,165,13.5,0,148,4.62,1.31,4.676553819,6.462039728,3.062282754,,
311,Pitcher,Tony Watson,x,x,x,x,x,x,68,0,28,63,3.88,1.26,4.614196864,6.375875186,2.966333826,,
312,Pitcher,Jakob Junis,x,x,x,x,x,x,182,15,0,160,4.78,1.34,4.605426986,6.36375701,2.952839574,,
313,Pitcher,Kyle Gibson,x,x,x,x,x,x,174,15,0,157,4.45,1.41,4.580834655,6.329775445,2.914999243,,
314,Pitcher,Sean Manaea,x,x,x,x,x,x,162,15,0,133,4.58,1.33,4.570720252,6.315799412,2.899436166,,
315,Pitcher,Yonny Chirinos,x,x,x,x,x,x,135,12,0,118,4.27,1.28,4.564061816,6.306598816,2.8891908,,
316,Pitcher,Giovanny Gallegos,x,x,x,x,x,x,65,0,21,77,3.71,1.17,4.542654244,6.277017935,2.856250872,,
317,Pitcher,Alex Colome,x,x,x,x,x,x,65,0,31,65,4.24,1.33,4.531755441,6.261958022,2.839480835,,
318,Pitcher,Danny Duffy,x,x,x,x,x,x,184,15,0,159,4.73,1.36,4.479579259,6.189861222,2.759197107,,
319,Pitcher,Alex Wood,x,x,x,x,x,x,119,12,0,103,4.06,1.29,4.460416002,6.163381525,2.729710517,TRUE,5
320,Pitcher,Adrian Houser,x,x,x,x,x,x,155,13.5,0,145,4.45,1.38,4.419406949,6.106715412,2.666609702,,
321,Pitcher,Marco Gonzales,x,x,x,x,x,x,193,15,0,147,4.62,1.35,4.405211493,6.087100198,2.644767088,TRUE,5
322,Pitcher,Jon Lester,x,x,x,x,x,x,176,15,0,158,4.73,1.38,4.373989384,6.043957638,2.596725489,,
323,Pitcher,Mark Melancon,x,x,x,x,x,x,65,0,26,61,3.72,1.29,4.349189552,6.009689348,2.558565875,TRUE,4
324,Pitcher,Brendan McKay,x,x,x,x,x,x,92,9,0,101,3.91,1.22,4.3145795,5.961865344,2.505311232,TRUE,2
325,Pitcher,Chris Bassitt,x,x,x,x,x,x,124,12,0,114,4.41,1.3,4.225282273,5.838474861,2.367909184,,
326,Pitcher,Vince Velasquez,x,x,x,x,x,x,119,10.5,0,130,4.54,1.29,4.219460142,5.830429869,2.358950645,,
327,Pitcher,Michael Pineda,x,x,x,x,x,x,129,12,0,117,4.63,1.29,4.058568929,5.608111159,2.111386607,,
328,Pitcher,Brad Peacock,x,x,x,x,x,x,119,12,0,126,4.63,1.34,4.041382167,5.584362574,2.084941259,,
329,Pitcher,Jeff Samardzija,x,x,x,x,x,x,191,13.5,0,153,4.75,1.35,4.031670602,5.570943179,2.06999803,,
330,Pitcher,Sean Newcomb,x,x,x,x,x,x,131,12,0,132,4.37,1.4,4.018199295,5.552328592,2.049269669,,
331,Pitcher,Brandon Kintzler,x,x,x,x,x,x,65,0,27,54,4,1.33,3.995363108,5.520773657,2.014131524,,
332,Pitcher,Hansel Robles,x,x,x,x,x,x,65,0,23,71,4.21,1.27,3.987505287,5.509915758,2.002040659,,
333,Pitcher,Drew Smyly,x,x,x,x,x,x,121,10.5,0,123,4.46,1.32,3.970281977,5.486116671,1.975539074,,
334,Pitcher,Dustin May,x,x,x,x,x,x,102,10.5,0,89,4.07,1.27,3.968451207,5.483586921,1.97272206,,
335,Pitcher,Reynaldo Lopez,x,x,x,x,x,x,159,13.5,0,148,4.97,1.35,3.905283738,5.396302414,1.87552599,,
336,Pitcher,Yusei Kikuchi,x,x,x,x,x,x,173,13.5,0,141,4.74,1.37,3.793135641,5.24133671,1.702963206,,
337,Pitcher,Sean Doolittle,x,x,x,x,x,x,60,0,19,66,4.07,1.2,3.734647743,5.160518411,1.612967612,,
338,Pitcher,Wade Miley,x,x,x,x,x,x,147,13.5,0,129,4.47,1.44,3.690542934,5.099574597,1.545103343,,
339,Pitcher,Aaron Civale,x,x,x,x,x,x,148,13.5,0,116,4.81,1.33,3.682340087,5.088239943,1.532481586,TRUE,1
340,Pitcher,Adam Wainwright,x,x,x,x,x,x,145,12,0,123,4.45,1.39,3.650015871,5.043574495,1.482744167,,
341,Pitcher,Eric Lauer,x,x,x,x,x,x,148,13.5,0,135,4.79,1.4,3.647353538,5.039895697,1.478647625,TRUE,1
342,Pitcher,Mike Leake,x,x,x,x,x,x,175,13.5,0,119,4.7,1.34,3.588300095,4.958295931,1.387781825,,
343,Pitcher,Nick Pivetta,x,x,x,x,x,x,93,7.5,0,102,4.18,1.27,3.571477057,4.935049938,1.36189614,TRUE,1
344,Pitcher,Spencer Turnbull,x,x,x,x,x,x,139,12,0,127,4.65,1.39,3.533000103,4.881882666,1.302691476,TRUE,2
345,Pitcher,Martin Perez,x,x,x,x,x,x,162,15,0,126,4.62,1.44,3.525266464,4.871196361,1.290791692,,
346,Pitcher,Will Smith,x,x,x,x,x,x,65,0,8,84,3.38,1.16,3.495620548,4.830231776,1.245175387,,
347,Pitcher,Jake Arrieta,x,x,x,x,x,x,168,13.5,0,139,4.75,1.41,3.473980626,4.800329835,1.21187794,,
348,Pitcher,J.A. Happ,x,x,x,x,x,x,114,10.5,0,108,4.66,1.32,3.4634248,4.785743844,1.195635642,,
349,Pitcher,Dylan Cease,x,x,x,x,x,x,108,10.5,0,115,4.52,1.41,3.346777089,4.624560595,1.016149283,,
350,Pitcher,Ryan Yarbrough,x,x,x,x,x,x,121,10.5,0,98,4.53,1.32,3.332019877,4.604169149,0.993442293,,
351,Pitcher,Sandy Alcantara,x,x,x,x,x,x,188,13.5,0,157,4.76,1.45,3.271794301,4.520949737,0.958829274,,
352,Pitcher,Mychal Givens,x,x,x,x,x,x,65,0,14,76,4,1.26,3.264116443,4.51034051,0.94625389,,
353,Pitcher,Tanner Roark,x,x,x,x,x,x,181,13.5,0,153,5.15,1.38,3.21388797,4.440935045,0.863985846,,
354,Pitcher,Matt Shoemaker,x,x,x,x,x,x,145,12,0,128,5.03,1.36,3.177148751,4.390168968,0.803811538,,
355,Pitcher,Anibal Sanchez,x,x,x,x,x,x,163,13.5,0,140,5.06,1.4,3.165007298,4.373391966,0.783925334,,
356,Pitcher,Jose Urena,x,x,x,x,x,x,149,10.5,0,119,4.55,1.38,3.156424723,4.361532605,1,,
357,Pitcher,Jordan Yamamoto,x,x,x,x,x,x,135,10.5,0,128,4.72,1.4,3.148294355,4.350298102,1,,
358,Pitcher,Brad Keller,x,x,x,x,x,x,182,15,0,137,4.74,1.47,3.072150521,4.245082915,1,,
359,Pitcher,Daniel Norris,x,x,x,x,x,x,147,12,0,127,4.93,1.39,3.059649286,4.227808768,1,,
360,Pitcher,Matt Barnes,x,x,x,x,x,x,68,0,4,93,3.38,1.23,3.047429839,4.210923995,1,,
361,Pitcher,Merrill Kelly,x,x,x,x,x,x,109,9,0,101,4.57,1.34,3.040475928,4.201315114,1,,
362,Pitcher,Elieser Hernandez,x,x,x,x,x,x,93,7.5,0,94,4.48,1.29,3.031640586,4.189106481,1,TRUE,5
363,Pitcher,Dellin Betances,x,x,x,x,x,x,55,0,4,78,3.07,1.15,3.005444135,4.152908349,1,,
364,Pitcher,Jose Alvarado,x,x,x,x,x,x,60,0,9,76,3.32,1.3,2.992172053,4.13456905,1,TRUE,1
365,Pitcher,Logan Webb,x,x,x,x,x,x,99,9,0,87,4.2,1.38,2.976146134,4.112424511,1,,
366,Pitcher,Brett Anderson,x,x,x,x,x,x,143,13.5,0,95,4.54,1.43,2.951746364,4.078709026,1,TRUE,1
367,Pitcher,Chad Kuhl,x,x,x,x,x,x,108,9,0,105,4.61,1.37,2.940513667,4.063187739,1,TRUE,1
368,Pitcher,Mike Fiers,x,x,x,x,x,x,188,15,0,144,5.21,1.4,2.937932234,4.059620728,1,,
369,Pitcher,Diego Castillo,x,x,x,x,x,x,60,0,5,73,3.26,1.17,2.90389491,4.012588116,1,,
370,Pitcher,Dakota Hudson,x,x,x,x,x,x,166,13.5,0,126,4.54,1.5,2.837873233,3.921359678,1,,
371,Pitcher,Emilio Pagan,x,x,x,x,x,x,65,0,1,83,3.51,1.09,2.835962741,3.918719769,1,,
372,Pitcher,Zach Eflin,x,x,x,x,x,x,146,12,0,120,5.05,1.38,2.821200212,3.898320977,1,,
373,Pitcher,Ryne Stanek,x,x,x,x,x,x,65,0,5,83,3.58,1.22,2.817133681,3.892701864,1,,
374,Pitcher,Yoshihisa Hirano,x,x,x,x,x,x,60,0,21,55,4.62,1.39,2.816881931,3.892353996,1,,
375,Pitcher,Ryan Pressly,x,x,x,x,x,x,65,0,2,78,3.36,1.15,2.738786298,3.784441824,1,,
376,Pitcher,Chad Green,x,x,x,x,x,x,60,0,0,81,3.44,1.07,2.71700596,3.754345857,1,,
377,Pitcher,Ty Buttrey,x,x,x,x,x,x,65,0,5,75,3.56,1.2,2.716079799,3.753066092,1,,
378,Pitcher,Trent Thornton,x,x,x,x,x,x,93,7.5,0,90,4.64,1.31,2.707418095,3.741097391,1,,
379,Pitcher,Julio Teheran,x,x,x,x,x,x,179,15,0,155,5.3,1.46,2.679096706,3.701963032,1,,
380,Pitcher,Daniel Hudson,x,x,x,x,x,x,67,0,15,69,4.36,1.36,2.649379077,3.660899354,1,,
381,Pitcher,Wade Davis,x,x,x,x,x,x,65,0,24,65,5.11,1.5,2.644516568,3.654180362,1,,
382,Pitcher,Joshua James,x,x,x,x,x,x,60,0,1,84,3.38,1.17,2.632308101,3.637310761,1,,
383,Pitcher,Trevor Williams,x,x,x,x,x,x,167,12,0,135,5.02,1.42,2.60446146,3.598832405,1,,
384,Pitcher,Homer Bailey,x,x,x,x,x,x,124,12,0,99,5.02,1.4,2.579939675,3.564948319,1,,
385,Pitcher,Seth Lugo,x,x,x,x,x,x,65,0,2,75,3.54,1.15,2.55611848,3.532032306,1,,
386,Pitcher,Michael Kopech,x,x,x,x,x,x,91,7.5,0,103,4.78,1.39,2.534549134,3.502227887,1,,
387,Pitcher,Gio Gonzalez,x,x,x,x,x,x,133,12,0,114,4.9,1.47,2.490583919,3.441476963,1,,
388,Pitcher,Kendall Graveman,x,x,x,x,x,x,137,10.5,0,103,4.78,1.4,2.489040705,3.439344557,1,,
389,Pitcher,Tyler Chatwood,x,x,x,x,x,x,116,10.5,0,109,4.51,1.53,2.467458853,3.409522857,1,,
390,Pitcher,Alec Mills,x,x,x,x,x,x,95,7.5,0,85,4.64,1.34,2.441440602,3.373570962,1,,
391,Pitcher,Justus Sheffield,x,x,x,x,x,x,148,10.5,0,131,4.8,1.48,2.392291346,3.305656755,1,,
392,Pitcher,Will Harris,x,x,x,x,x,x,67,0,4,70,3.56,1.24,2.374723067,3.281380991,1,,
393,Pitcher,Tommy Kahnle,x,x,x,x,x,x,68,0,0,86,3.61,1.21,2.358801019,3.25937998,1,,
394,Pitcher,Kyle Freeland,x,x,x,x,x,x,154,13.5,0,128,5.08,1.49,2.351696566,3.249563081,1,,
395,Pitcher,Ross Stripling,x,x,x,x,x,x,80,0,0,80,3.7,1.18,2.345931671,3.241597178,1,,
396,Pitcher,John Means,x,x,x,x,x,x,183,12,0,142,5.33,1.38,2.340762004,3.234453756,1,,
397,Pitcher,Andrew Miller,x,x,x,x,x,x,68,0,2,80,3.65,1.24,2.319840365,3.205544336,1,,
398,Pitcher,Hunter Harvey,x,x,x,x,x,x,60,0,14,62,4.61,1.35,2.318940071,3.204300314,1,,
399,Pitcher,Blake Treinen,x,x,x,x,x,x,62,0,4,67,3.45,1.25,2.318300793,3.203416962,1,,
400,Pitcher,Zach Plesac,x,x,x,x,x,x,119,10.5,0,97,5.07,1.39,2.312245694,3.195050055,1,,
401,Pitcher,Drew Pomeranz,x,x,x,x,x,x,58,0,1,73,3.4,1.19,2.296900532,3.173846184,1,,
402,Pitcher,Alex Cobb,x,x,x,x,x,x,181,13.5,0,129,5.17,1.43,2.229399227,3.080573203,1,,
403,Pitcher,Shaun Anderson,x,x,x,x,x,x,60,0,8,55,3.85,1.26,2.216245464,3.062397396,1,,
404,Pitcher,Joe Ross,x,x,x,x,x,x,108,9,0,90,4.85,1.41,2.148623171,2.968957234,1,,
405,Pitcher,Corey Knebel,x,x,x,x,x,x,45,0,4,62,3.53,1.22,2.137991951,2.954267066,1,,